0	16	1.28253	0	1
1	17	1	1	1.14124
2	18	1	2	6.66552
3	19	1.25118	3	1
4	20	1.76148	4	1
5	21	1.16892	5	1
6	22	1.30306	6	1
7	23	1.60291	7	1
8	24	1.43851	8	1
9	25	1.14158	9	1
10	26	1.48378	10	1
11	27	1.68772	11	1
12	28	1	12	1.30089
13	29	1.60217	13	1
14	30	2.03242	14	1
15	31	1.49356	15	1
16	48	1	32	6.83818
17	49	1.33785	33	1
18	50	1	34	1.13871
19	51	1	35	1.64193
20	52	1.47545	36	1
21	53	1.19129	37	1
22	54	1	38	1.02072
23	55	1	39	1.03474
24	56	1	40	1.02751
25	57	1	41	1.05916
26	58	1	42	1.46916
27	59	1.56641	43	1
28	60	1	44	1.7619
29	61	1	45	1.17039
30	62	1	46	1.16915
31	63	1	47	1
32	80	1	64	1
33	81	1.99528	65	1
34	82	1.19334	66	1
35	83	1	67	1.17602
36	84	1	68	1.25262
37	85	1	69	1
38	86	1	70	1.2425
39	87	1	71	1
40	88	1	72	1
41	89	1	73	1.07477
42	90	1	74	1
43	91	1	75	1.29429
44	92	1	76	1.15421
45	93	1	77	1.3698
46	94	1	78	1
47	95	1	79	1.02743
48	112	1	96	1.11656
49	113	1.16299	97	1
50	114	1.44349	98	1
51	115	1	99	1
52	116	1.36081	100	1
53	117	1.06068	101	1
54	118	1	102	1.44231
55	119	1	103	1.01573
56	120	1.2126	104	1
57	121	1.048	105	1
58	122	1.34141	106	1
59	123	1	107	1.21282
60	124	1.10466	108	1
61	125	1	109	1.37347
62	126	1	110	1.43411
63	127	1	111	1
64	144	1	128	2.40226
65	145	1	129	1.58657
66	146	1	130	1.95301
67	147	1	131	1.54678
68	148	1	132	2.1721
69	149	1	133	1.92163
70	150	1	134	1.68874
71	151	1	135	2.07813
72	152	1.07915	136	1
73	153	1	137	1.63784
74	154	1	138	2.14557
75	155	1	139	2.17079
76	156	1	140	1.89352
77	157	1	141	2.79489
78	158	1	142	1
79	159	1	143	1.15976
80	176	1	160	1
81	177	1	161	1.20338
82	178	1	162	1.0712
83	179	1	163	1.36097
84	180	1	164	1.1488
85	181	1	165	1.30271
86	182	1	166	1
87	183	1	167	1
88	184	1	168	1.26863
89	185	1	169	1.20296
90	186	1	170	1.09134
91	187	1.11703	171	1
92	188	1.34677	172	1
93	189	1.14782	173	1
94	190	1	174	1.08256
95	191	1	175	1
