0 0 0.00662952 -0.570344
0 1 0.00700778 -0.743338
0 2 0.00660845 -0.386757
0 3 0.00694568 -0.776753
0 4 0.00659072 -0.576398
0 5 0.00695766 -0.568782
0 6 0.00671598 -0.451859
0 7 0.00709157 -0.440028
0 8 0.00658007 -0.570941
0 9 0.00699405 -0.869489
0 10 0.00678155 -0.64432
0 11 0.00729372 -1.07531
0 12 0.00688127 -0.881833
0 13 0.00725176 -0.967221
0 14 0.00690581 -0.755226
0 15 0.00731324 -0.768017
0 16 0.00689303 -0.423899
0 17 0.00741886 -0.61036
0 18 0.00694131 -0.557965
0 19 0.00727479 -0.913718
0 20 0.00682609 -0.658099
0 21 0.00717149 -0.96033
0 22 0.00662134 -0.640134
0 23 0.00690315 -0.771001
0 24 0.00649233 -0.725172
0 25 0.0068504 -0.830341
0 26 0.00652411 -0.649511
0 27 0.00686782 -0.982372
0 28 0.00655816 -0.493598
0 29 0.00684982 -0.782966
0 30 0.00650987 -0.470704
0 31 0.00691307 -0.971721
1 0 0.00694084 -0.441288
1 1 0.00665303 -0.417885
1 2 0.00695865 -0.609866
1 3 0.00661099 -0.564918
1 4 0.00695369 -0.391318
1 5 0.00662939 -0.68724
1 6 0.00698475 -0.463836
1 7 0.00660935 -0.568835
1 8 0.00707663 -0.715297
1 9 0.00656843 -0.659337
1 10 0.00695896 -0.866368
1 11 0.00653859 -0.856639
1 12 0.00696769 -0.542108
1 13 0.00660976 -0.833669
1 14 0.00699422 -0.741863
1 15 0.00654764 -0.831046
1 16 0.00697085 -0.793713
1 17 0.00662826 -0.440007
1 18 0.00698176 -0.908343
1 19 0.00656775 -0.536477
1 20 0.00697389 -0.818162
1 21 0.00657899 -0.744344
1 22 0.00694844 -0.725895
1 23 0.00654464 -0.819989
1 24 0.00698197 -0.804083
1 25 0.00654764 -0.780958
1 26 0.0069529 -0.706856
1 27 0.00650914 -0.680571
1 28 0.00695785 -0.963299
1 29 0.00656622 -0.52289
1 30 0.00694643 -0.792287
1 31 0.00650826 -0.771253
2 0 0 0
2 1 0 0
2 2 0.00686581 -0.37565
2 3 0.00676702 -0.708843
2 4 0.00684479 -0.463057
2 5 0.00677638 -0.742469
2 6 0.00691487 -0.595763
2 7 0.006773 -0.642923
2 8 0.00686163 -0.84256
2 9 0.00679839 -0.661375
2 10 0.00686159 -0.717822
2 11 0.00680501 -0.766207
2 12 0.00687079 -0.787753
2 13 0.00679831 -0.883798
2 14 0.00688092 -0.721507
2 15 0.00673177 -0.856756
2 16 0 0
2 17 0.0067997 -0.601562
2 18 0 0
2 19 0.00682573 -1.15798
2 20 0.00685638 -0.63789
2 21 0.00682913 -0.686427
2 22 0.00684986 -0.802782
2 23 0.00682291 -0.879618
2 24 0.00683202 -0.750922
2 25 0.00684721 -0.93287
2 26 0.00682083 -0.769892
2 27 0.00682293 -0.7215
2 28 0.00681327 -0.696263
2 29 0.00683858 -0.776431
2 30 0.00679747 -0.832213
2 31 0.00680983 -0.804904
3 0 0.00676129 -0.335399
3 1 0.00659909 -0.633823
3 2 0.00666279 -0.463502
3 3 0.00658468 -0.59526
3 4 0.00668041 -0.388971
3 5 0.00661755 -0.543432
3 6 0.0066431 -0.384968
3 7 0.00660471 -0.55909
3 8 0.00664454 -0.580347
3 9 0.00660224 -0.680746
3 10 0.00664833 -0.516336
3 11 0.00657814 -0.551983
3 12 0.00661188 -0.488618
3 13 0.00658104 -0.712027
3 14 0.00680891 -0.468054
3 15 0.0065568 -0.656953
3 16 0.00660026 -0.655621
3 17 0.00655903 -0.629206
3 18 0.00660305 -0.455621
3 19 0.00654885 -0.657387
3 20 0.00670532 -0.623572
3 21 0.0065135 -0.733117
3 22 0.00663115 -0.33897
3 23 0.00652419 -0.785493
3 24 0.00659266 -0.465643
3 25 0.00653113 -0.68794
3 26 0.00658305 -0.317704
3 27 0.00652652 -0.655899
3 28 0.0066124 -0.296622
3 29 0.0065182 -0.774333
3 30 0.00656876 -0.491861
3 31 0.00658028 -0.560273
