0 0 0.00753832 -1.02876
0 1 0 0
0 2 0.00737261 -0.966666
0 3 0.00720508 -0.845101
0 4 0.00739045 -1.02036
0 5 0.00726099 -0.851924
0 6 0.00738832 -0.875389
0 7 0.00719575 -0.841919
0 8 0.00735618 -0.972875
0 9 0.00715035 -0.85859
0 10 0.0073842 -1.00776
0 11 0.00715364 -0.84288
0 12 0.00737274 -1.00282
0 13 0.0071851 -0.894514
0 14 0.00735675 -1.04088
0 15 0.00717816 -0.808466
0 16 0.00738866 -0.906848
0 17 0.00718927 -0.790402
0 18 0.0073154 -1.04105
0 19 0.00717487 -0.902191
0 20 0.00733236 -0.903329
0 21 0.00716903 -0.907339
0 22 0.00736198 -0.916689
0 23 0.00714165 -0.800826
0 24 0.0074017 -1.03864
0 25 0.00716984 -0.762657
0 26 0.00733649 -1.02425
0 27 0.00715264 -0.837279
0 28 0.00734818 -0.835327
0 29 0.00710604 -0.749149
0 30 0.00733582 -0.960929
0 31 0.00714381 -0.864382
1 0 0.00725384 -1.06145
1 1 0.00715282 -0.964155
1 2 0.00722263 -1.05528
1 3 0.00707756 -0.898026
1 4 0.00726612 -1.07908
1 5 0.00719808 -0.924114
1 6 0.0072853 -1.09987
1 7 0.00708792 -1.00357
1 8 0.00720829 -0.913119
1 9 0.00708363 -0.896873
1 10 0.00722739 -0.999525
1 11 0.00704005 -0.852225
1 12 0.00720882 -0.98524
1 13 0.00702485 -0.868189
1 14 0.00717877 -0.958535
1 15 0.00699693 -0.962221
1 16 0.00718526 -0.978123
1 17 0.00699219 -0.972077
1 18 0.00711269 -0.981814
1 19 0.00701671 -0.795752
1 20 0.0071619 -0.949007
1 21 0.00700315 -0.874155
1 22 0.00717585 -1.02338
1 23 0.00699539 -0.934187
1 24 0.0071458 -1.03433
1 25 0.00700362 -0.860824
1 26 0.00709082 -0.969198
1 27 0.00700123 -0.857705
1 28 0.00710202 -0.985573
1 29 0.00696724 -0.896112
1 30 0.00713478 -0.998366
1 31 0.00693322 -0.886959
2 0 0 0
2 1 0.00718757 -0.917876
2 2 0.00721928 -1.03722
2 3 0.00719001 -0.922592
2 4 0.00724164 -0.98745
2 5 0.00718583 -0.879848
2 6 0.00722738 -1.09114
2 7 0.00722081 -0.96211
2 8 0.0071673 -1.01634
2 9 0.00718739 -0.903934
2 10 0.00714155 -1.04129
2 11 0.00716597 -0.961156
2 12 0.00715736 -1.07012
2 13 0.0071624 -0.908519
2 14 0.0072084 -1.01106
2 15 0.00720281 -0.850609
2 16 0.00719457 -1.0201
2 17 0.00719718 -0.974026
2 18 0.00714664 -1.03418
2 19 0.00717685 -1.00549
2 20 0.00710908 -1.06525
2 21 0.00716208 -0.865649
2 22 0.00711983 -1.01064
2 23 0.00725931 -0.908793
2 24 0.00711812 -1.04576
2 25 0.00718765 -0.876852
2 26 0.00709031 -1.06274
2 27 0.00718816 -1.06759
2 28 0.0070939 -1.001
2 29 0.00717348 -0.769649
2 30 0.00713556 -1.01122
2 31 0.00711485 -0.838574
3 0 0.00712355 -1.07464
3 1 0.00718776 -0.958602
3 2 0.00712926 -1.04115
3 3 0.00714427 -1.03614
3 4 0.0071629 -0.941155
3 5 0.00719494 -0.953545
3 6 0.00717057 -1.08922
3 7 0.00720949 -0.878886
3 8 0.00710996 -1.01829
3 9 0.00719101 -0.82788
3 10 0.00711059 -1.09406
3 11 0.00719949 -0.882769
3 12 0.00714267 -1.04219
3 13 0.00717415 -0.791766
3 14 0.00718381 -0.929331
3 15 0.00720188 -0.886092
3 16 0.00716412 -1.00158
3 17 0.00713873 -0.878822
3 18 0.00711468 -0.951582
3 19 0.00716637 -0.932885
3 20 0.00712772 -0.951127
3 21 0.00714505 -0.825484
3 22 0.00708365 -0.994158
3 23 0.00710785 -0.830267
3 24 0.00711184 -0.986436
3 25 0.0071609 -0.922641
3 26 0.00709745 -1.01695
3 27 0.0071682 -0.84436
3 28 0.00716791 -0.896841
3 29 0.00712411 -0.850092
3 30 0.00708458 -0.935686
3 31 0.00720001 -0.88647
