0	0.779706
1	1.14124
2	6.66552
3	0.799246
4	0.567704
5	0.855487
6	0.767426
7	0.623865
8	0.695165
9	0.875977
10	0.673954
11	0.592517
12	1.30089
13	0.624153
14	0.492025
15	0.66954
16	6.83818
17	0.747467
18	1.13871
19	1.64193
20	0.677758
21	0.839428
22	1.02072
23	1.03474
24	1.02751
25	1.05916
26	1.46916
27	0.638404
28	1.7619
29	1.17039
30	1.16915
31	-1
32	-1
33	0.501182
34	0.837987
35	1.17602
36	1.25262
37	-1
38	1.2425
39	-1
40	-1
41	1.07477
42	-1
43	1.29429
44	1.15421
45	1.3698
46	-1
47	1.02743
48	1.11656
49	0.859855
50	0.692765
51	-1
52	0.734855
53	0.942788
54	1.44231
55	1.01573
56	0.824676
57	0.954201
58	0.745486
59	1.21282
60	0.905253
61	1.37347
62	1.43411
63	-1
64	2.40226
65	1.58657
66	1.95301
67	1.54678
68	2.1721
69	1.92163
70	1.68874
71	2.07813
72	0.926657
73	1.63784
74	2.14557
75	2.17079
76	1.89352
77	2.79489
78	-1
79	1.15976
80	-1
81	1.20338
82	1.0712
83	1.36097
84	1.1488
85	1.30271
86	-1
87	-1
88	1.26863
89	1.20296
90	1.09134
91	0.895235
92	0.74252
93	0.871219
94	1.08256
95	-1
